accept_stat__,stepsize__,int_time__,energy__,lp__
0.968171,3.9714,39.714,3.12725,-1.35981
0.00140164,1.29205,12.9205,8.43257,-6.79288
1,1.70794,17.0794,1.80246,-1.41919
1,2.25465,22.5465,2.32924,-1.16349
0.780821,2.19096,21.9096,3.49525,-2.20003
0.799966,2.18672,21.8672,4.44413,-2.96058
0.666331,1.81376,18.1376,3.45836,-3.42816
0.985807,2.34131,23.4131,4.13968,-2.25592
1,3.07829,30.7829,2.24813,-1.65869
0.461899,1.92857,19.2857,2.87716,-2.28134
0.974645,2.44693,24.4693,4.62523,-2.43698
1,3.21069,32.1069,4.38087,-3.6167
1,4.20754,42.0754,4.18465,-2.19848
0.582751,3.1192,31.192,3.54617,-1.80629
0.102234,1.20506,12.0506,6.70335,-5.65847
0.990659,1.55996,15.5996,7.12655,-6.58654
1,2.04264,20.4264,5.70557,-5.3825
0.937064,2.45382,24.5382,7.38802,-5.34363
0.483827,1.59962,15.9962,6.02418,-5.97001
1,2.09065,20.9065,6.40721,-5.17533
0.625455,1.65167,16.5167,6.02065,-5.78709
1,2.15595,21.5595,5.7926,-5.24425
1,2.81086,28.1086,4.24034,-2.30227
1,3.66043,36.6043,1.90367,-1.12524
0.673588,3.08553,30.8553,4.5911,-1.48331
0.172986,1.34018,13.4018,3.86314,-3.41743
0.998176,1.74086,17.4086,4.5077,-3.48733
1,2.26421,22.6421,4.26317,-4.07709
0.642636,1.83702,18.3702,4.067,-4.04973
1,2.3863,23.863,2.2442,-1.46998
0.97078,2.97991,29.7991,2.37208,-1.9556
1,3.86261,38.6261,1.31674,-1.28881
0.92406,4.52901,45.2901,2.40506,-1.39399
0.0889142,1.78692,17.8692,5.22951,-4.36076
1,2.31495,23.1495,5.73423,-1.678
0.701149,2.03263,20.3263,4.46625,-4.12331
0.920279,2.37174,23.7174,2.49949,-1.71012
1,3.06582,30.6582,2.71611,-2.03848
0.866963,3.3346,33.346,3.15013,-2.35664
1,4.30287,43.0287,2.56529,-1.86835
1,5.5465,55.465,1.55073,-1.40433
0.00216855,1.9877,19.877,5.11813,-4.53541
1,2.5636,25.636,4.2005,-1.73226
0.285578,1.32682,13.2682,5.49036,-5.28983
1,1.71089,17.1089,2.00867,-1.4147
0.995544,2.19143,21.9143,2.81646,-1.50436
0.991913,2.79125,27.9125,3.84556,-1.42098
0.894454,3.13945,31.3945,4.52586,-3.3067
0.799639,3.13086,31.3086,2.79931,-2.17898
0.655957,2.60481,26.0481,2.37349,-2.36672
1,3.34419,33.4419,2.55085,-1.5419
0.966894,4.1145,41.145,2.3059,-2.00642
1,5.27254,52.7254,2.68004,-1.82978
0.157095,2.35073,23.5073,3.11716,-2.82919
1,3.01275,30.1275,2.24974,-1.94146
1,3.85751,38.5751,1.39063,-1.35705
1,4.93444,49.3444,1.20265,-1.07602
0.963992,6.03032,60.3032,1.33885,-1.11765
8.56535e-007,2.22971,22.2971,7.57985,-6.8444
1,2.85119,28.5119,2.34779,-1.8813
1,3.64249,36.4249,3.0443,-1.98772
0.458744,2.38617,23.8617,3.62897,-3.56364
1,3.04663,30.4663,3.31468,-2.87104
1,3.88634,38.8634,3.70888,-2.23897
1,4.95299,49.5299,4.2243,-3.66427
1.11089e-005,1.85628,18.5628,11.4941,-11.4849
1,2.36689,23.6689,1.20912,-1.08404
1,3.01525,30.1525,2.30745,-1.08119
0.396986,1.84314,18.4314,3.19893,-2.40841
1,2.34703,23.4703,3.6982,-1.51194
0.834729,2.44408,24.4408,4.11003,-2.23201
0.939708,2.88933,28.8933,1.91204,-1.71074
1,3.67138,36.7138,2.53892,-1.15089
0.0295878,1.44733,14.4733,6.56529,-6.02055
1,1.83979,18.3979,2.32423,-1.5031
1,2.33666,23.3666,1.57017,-1.10038
0.965049,2.84351,28.4351,2.04397,-1.21916
1,3.60556,36.0556,1.26677,-1.09283
0.657921,3.03585,30.3585,4.17104,-1.39592
0.150935,1.39745,13.9745,4.06901,-3.59597
1,1.77197,17.7197,2.23957,-1.68008
0.952449,2.12167,21.2167,3.9561,-2.07992
1,2.68607,26.8607,3.88798,-3.39659
1,3.39781,33.9781,3.21401,-3.0581
0.311992,1.90455,19.0455,2.64044,-1.23461
0.170828,0.905591,9.05591,4.43776,-4.16652
1,1.14632,11.4632,2.68561,-2.46629
1,1.44985,14.4985,2.70888,-2.54753
1,1.83228,18.3228,1.70007,-1.60247
1,2.31372,23.1372,1.9948,-1.22812
0.84847,2.44518,24.4518,3.2533,-2.03435
0.882972,2.68983,26.8983,3.67785,-2.43514
1,3.39037,33.9037,3.43401,-3.33262
0.291093,1.87132,18.7132,1.97294,-1.47562
0.984639,2.31659,23.1659,3.83961,-1.78109
0.73789,2.15254,21.5254,3.92288,-3.37502
1,2.70997,27.0997,2.51768,-1.66785
1,3.40914,34.0914,3.33166,-2.253
0.583459,2.64991,26.4991,4.40014,-3.22211
1,3.33119,33.3119,3.68968,-3.65385
0.914553,3.79278,37.9278,8.81286,-3.4911
1,4.7615,47.615,7.60594,-7.41185
1.38216e-006,1.89813,18.9813,19.5416,-16.6873
1,2.38388,23.8388,11.2251,-10.3212
1,2.99171,29.9171,11.1958,-8.81598
0.15832,1.43624,14.3624,15.085,-11.762
1,1.80261,18.0261,9.58667,-9.29129
1,2.26077,22.6077,5.0801,-4.79882
0.947965,2.67079,26.7079,2.76945,-2.47684
1,3.34509,33.4509,2.37136,-1.34116
0.79179,3.30775,33.0775,5.78646,-1.93812
0.446421,2.21415,22.1415,6.69941,-6.22172
1,2.77102,27.7102,6.69435,-6.35442
0.696817,2.46302,24.6302,4.52544,-4.19729
1,3.07979,30.7979,1.7079,-1.36954
0.95962,3.67774,36.7774,1.78976,-1.51492
0.944694,4.31651,43.1651,2.37121,-1.73505
0.0400585,1.83976,18.3976,5.84078,-5.51233
1,2.29831,22.9831,3.22852,-1.84571
0.722309,2.10475,21.0475,3.86149,-2.92033
0.98051,2.57057,25.7057,3.45338,-3.10128
0.611693,2.08178,20.8178,3.5457,-3.12245
0.938511,2.4252,24.252,3.36686,-2.59824
0.938931,2.82528,28.2528,2.88451,-2.77882
0.856551,3.00304,30.0304,3.06244,-2.85836
1,3.73982,37.3982,1.8589,-1.34846
0.196908,1.91814,19.1814,3.15282,-2.86745
1,2.38879,23.8879,3.24222,-1.35298
0.78783,2.3539,23.539,2.40423,-2.09687
1,2.92864,29.2864,2.78565,-1.24349
0.659617,2.50654,25.0654,2.0868,-1.48786
1,3.11622,31.1622,1.83098,-1.75006
1,3.87167,38.7167,2.04704,-1.68969
1,4.80717,48.0717,2.9517,-1.59764
0.026331,2.06273,20.6273,7.71027,-6.29148
1,2.5619,25.619,2.38397,-1.90677
0.913194,2.89342,28.9342,2.57237,-2.30023
0.719262,2.64644,26.4644,2.22927,-2.04724
0.979862,3.21164,32.1164,2.27736,-2.01833
0.956696,3.79889,37.9889,2.4078,-2.1584
0.791542,3.75698,37.5698,4.21782,-2.33517
0.120063,1.79995,17.9995,6.75517,-6.17347
1,2.23105,22.3105,5.75673,-2.48689
0.959329,2.64532,26.4532,5.96982,-5.43861
1,3.27506,32.7506,5.49016,-5.47078
0.132601,1.59741,15.9741,6.59877,-6.29366
1,1.97791,19.7791,8.73872,-5.45381
1,2.44755,24.4755,5.77315,-5.36916
1,3.02687,30.2687,3.44262,-3.18644
1,3.74104,37.4104,1.83163,-1.1175
0.430572,2.51897,25.1897,5.16413,-2.63152
1,3.11226,31.1226,2.59545,-2.5693
0.986999,3.79029,37.9029,1.94573,-1.62916
0.768321,3.65813,36.5813,2.52775,-1.96557
1,4.51337,45.1337,1.98343,-1.48642
0.096793,2.14018,21.4018,4.71575,-4.23894
1,2.64098,26.4098,3.99957,-1.74946
0.575913,2.08206,20.8206,3.75789,-2.4245
1,2.56786,25.6786,3.79231,-1.79276
0.479811,1.831,18.31,5.19607,-4.36751
1,2.25732,22.5732,2.16047,-1.12199
0.895321,2.49199,24.9199,2.58178,-1.88025
1,3.06915,30.6915,1.88662,-1.14503
0.821221,3.13326,31.3326,1.53466,-1.49023
1,3.85555,38.5555,1.73215,-1.26305
1,4.74169,47.4169,1.58486,-1.33487
0.002242,2.06037,20.6037,2.63992,-2.37442
1,2.53466,25.3466,1.63057,-1.3058
1,3.11638,31.1638,2.4376,-1.21269
1,3.82949,38.2949,2.00445,-1.11422
0.385916,2.48857,24.8857,6.41107,-2.86819
1,3.05726,30.5726,6.24145,-5.177
0.347245,1.91167,19.1167,2.57123,-2.34114
0.0680777,0.897153,8.97153,4.3408,-4.31434
0.466804,0.636404,6.36404,1.95177,-1.31578
0.993504,0.777183,7.77183,1.97436,-1.81177
0.999233,0.954209,9.54209,3.45552,-1.88803
1,1.17185,11.7185,2.30497,-1.75387
0.999167,1.43712,14.3712,3.68793,-2.17261
1,1.763,17.63,4.22479,-1.43434
0.922068,1.99599,19.9599,4.71176,-3.27667
0.89242,2.19164,21.9164,5.61742,-3.83294
0.908275,2.44513,24.4513,4.01691,-3.69293
0.424748,1.66626,16.6626,3.33893,-2.6723
0.991645,2.02373,20.2373,2.89443,-2.86513
1,2.47761,24.7761,5.61517,-2.8009
1,3.0317,30.317,5.27217,-5.03698
1,3.70779,37.0779,5.75702,-4.29178
0.159363,1.93515,19.3515,8.16503,-7.43722
1,2.36685,23.6685,3.68477,-3.0705
0.830741,2.43879,24.3879,3.33852,-2.75186
1,2.98045,29.8045,6.82997,-2.21609
0.429702,2.04973,20.4973,8.06004,-6.69682
1,2.50426,25.0426,3.59131,-3.35006
1,3.05805,30.5805,1.99119,-1.65273
1,3.73242,37.3242,1.27511,-1.23923
1,4.55324,45.5324,2.9981,-1.18026
0.212311,2.52366,25.2366,7.10905,-4.21832
0.404967,1.69834,16.9834,6.96593,-6.83793
1,2.07234,20.7234,5.63631,-3.63278
0.969226,2.45106,24.5106,3.97077,-3.5918
1,2.98798,29.8798,3.20876,-2.91562
0.44211,2.09017,20.9017,5.50718,-2.52991
0.644642,1.7896,17.896,6.00569,-4.67791
0.942819,2.06058,20.6058,5.92525,-5.70788
1,2.51007,25.1007,4.97909,-4.93809
0.857826,2.65494,26.5494,5.16965,-3.99633
0.726399,2.46567,24.6567,2.81599,-1.90883
0.850787,2.58962,25.8962,2.72958,-2.37785
1,3.15062,31.5062,3.1693,-2.52843
0.905737,3.49161,34.9161,2.98252,-2.54597
1,4.24446,42.4446,1.27162,-1.22192
1,5.15723,51.5723,2.73902,-1.10892
0.0127264,2.37678,23.7678,4.65934,-4.58348
1,2.88857,28.8857,1.65948,-1.17033
0.774608,2.81407,28.1407,2.58352,-1.71192
0.891756,3.07445,30.7445,2.4638,-2.05425
1,3.73273,37.3273,4.60895,-1.56991
0.0039421,1.71417,17.1417,10.28,-9.89251
1,2.08169,20.8169,1.5072,-1.5024
1,2.52685,25.2685,2.29231,-1.248
0.770582,2.45292,24.5292,3.38282,-2.44924
0.707953,2.24083,22.4083,2.84803,-2.79482
1,2.71792,27.1792,1.55567,-1.55499
1,3.29511,32.9511,1.4078,-1.04959
0.728143,3.06951,30.6951,2.74089,-1.68855
0.781888,3.0123,30.123,3.14802,-2.25853
0.701265,2.73493,27.3493,2.72905,-2.51554
1,3.31275,33.1275,3.40362,-1.66326
0.466913,2.4003,24.003,4.9312,-3.96934
0.707584,2.1939,21.939,4.29016,-3.77105
0.818994,2.23228,22.3228,2.99793,-2.88891
0.485354,1.64891,16.4891,3.80571,-2.9985
1,1.99625,19.9625,1.54206,-1.11629
0.939995,2.28082,22.8082,1.83388,-1.46305
1,2.75904,27.5904,2.33561,-1.21976
0.660694,2.41244,24.1244,2.77703,-1.96089
