"","cor","platform","seed","delta.target","metric","eps.final","Npar","time.warmup","time.total","minESS","medianESS","Nsims","minESS.coda","Rhat.min","Rhat.max","Rhat.median","efficiency","model"
"27",0,"admb",1,0.8,"diag",1.11708,4,NA,0.260000000000019,406.38670109562,455.341977053747,1000,370.816862580465,0.999194646081477,1.01074829600842,1.0044418188778,1563.02577344458,"mvnd"
"28",0,"admb.rwm",1,0.8,"diag",NA,4,NA,0.220000000000027,432.338020175157,554.62066600687,1000,536.370387517651,0.99913993821812,1.00266233902696,0.999615679500547,1965.17281897774,"mvnd"
"29",0,"stan",2,0.8,"diag",1.25042449854763,4,0.054,0.073,390.28025487088,1000,1000,380.102432196071,0.999003516912973,1.00605325489884,0.999230087735537,5346.30486124493,"mvnd"
"30",0,"tmb",2,0.8,"diag",1.09337872029067,4,0.804043054580688,1.41095614433289,334.231942962129,1000,1000,345.770740591312,0.999005436942822,0.999620549964537,0.999094827474193,236.883296695346,"mvnd"
"31",0,"admb",2,0.8,"diag",1.1284,4,NA,0.269999999999982,411.672648758254,435.399924367307,1000,381.990089453105,0.999339453002325,1.00325440416142,1.00245140867,1524.71351391956,"mvnd"
"32",0,"admb.rwm",2,0.8,"diag",NA,4,NA,0.219999999999999,528.468591630137,588.15407644343,1000,532.408268308627,0.998999551820533,1.00633726810697,0.999298066593167,2402.12996195518,"mvnd"
"33",0,"stan",3,0.8,"diag",1.15065891485,4,0.032,0.049,501.343374627258,1000,1000,457.775305795047,0.999050398279382,1.00047041913981,0.999281955610592,10231.4974413726,"mvnd"
"34",0,"tmb",3,0.8,"diag",1.0564275691866,4,0.811097860336304,1.41349792480469,289.540947074053,1000,1000,283.050030865314,0.999250742807642,1.00050741470751,0.999284348198064,204.840022749988,"mvnd"
"35",0,"admb",3,0.8,"diag",1.14469,4,NA,0.27000000000001,420.701698482856,500.394585533035,1000,427.381033229854,0.999127365597258,1.00568295829406,1.00264527481178,1558.15443882533,"mvnd"
"36",0,"admb.rwm",3,0.8,"diag",NA,4,NA,0.219999999999999,438.360213646795,545.57654342983,1000,514.655712850553,0.99918573680423,1.000673373237,0.999460377589463,1992.54642566726,"mvnd"
