"","platform","seed","delta.target","metric","eps.final","Npar","time.warmup","time.total","minESS","medianESS","Nsims","minESS.coda","Rhat.min","Rhat.max","Rhat.median","efficiency","model"
"12","admb",3,0.98,"diag",0.00988681,28,NA,41.0500000000029,347.27884556651,1000,1000,357.632479056049,0.999017039694177,1.00298832355269,0.99961594491775,8.45989879577308,"sslog"
"13","stan",4,0.98,"diag",0.0147410789132952,28,7.047,10.094,293.249857255393,1000,1000,303.896676693354,0.999007560733025,1.00206942901154,0.999263305830954,29.0518978854164,"sslog"
"14","tmbstan",4,0.98,"diag",0.0133997513794319,28,8.297,12.814,309.690812915556,1000,1000,366.573079652204,0.999000064033841,1.00314357419231,0.999333131556074,24.1681608331166,"sslog"
"15","tmb",4,0.98,"diag",0.0100427497876211,28,220.268112897873,346.952801942825,250.983371490363,1000,1000,241.254095885988,0.998999633948832,1.00615972458902,0.999173805243965,0.723393412835798,"sslog"
"16","admb",4,0.98,"diag",0.0132739,28,NA,33.3499999999985,194.109874790935,1000,1000,212.761818487611,0.998999505979238,1.00456876030771,0.999324682496455,5.82038605070296,"sslog"
"17","stan",5,0.98,"diag",0.0120467941818541,28,6.673,10.564,259.489296169803,754.748740931504,1000,251.648913935611,0.998999501477211,1.00426417763955,0.999308537087556,24.5635456427303,"sslog"
"18","tmbstan",5,0.98,"diag",0.0123501241556685,28,10.641,16.001,271.054434382507,879.298257234741,1000,239.122712679044,0.999007193651834,1.00133464494355,0.999564858689043,16.9398434086937,"sslog"
"19","tmb",5,0.98,"diag",0.0122248500414954,28,162.049921989441,240.47855091095,206.055477393966,829.834777632331,1000,270.110193812155,0.998999594946227,1.01574444444814,1.00003857922854,0.856855950825609,"sslog"
"20","admb",5,0.98,"diag",0.0105769,28,NA,45.5400000000009,344.3735619942,1000,1000,326.277304418506,0.999000304715209,1.00291307092655,0.999320477380088,7.56200180048734,"sslog"
"21","stan",6,0.98,"diag",0.0126479972945344,28,7.25,10.579,221.313052137159,914.389495569503,1000,217.005337584904,0.998999514287743,1.0028451859981,0.999703600617541,20.9200351769694,"sslog"
"22","tmbstan",6,0.98,"diag",0.0140347699831422,28,10.47,14.77,279.833042249426,1000,1000,291.526523656857,0.998999515068472,1.0010772323054,0.999066813346626,18.9460421292774,"sslog"
"23","tmb",6,0.98,"diag",0.0116422696460994,28,178.615747928619,272.595585823059,357.188241964866,853.34630794713,1000,371.807883301179,0.999002653985965,1.0058617887321,0.999705406773815,1.31032291255338,"sslog"
"24","admb",6,0.98,"diag",0.00991142,28,NA,38.3700000000026,342.901787690052,1000,1000,376.862283000776,0.998999520561114,1.00350883775645,0.999431678291797,8.93671586369634,"sslog"
"25","stan",7,0.98,"diag",0.00918793113527311,28,6,11.735,270.158354269675,1000,1000,308.954901619901,0.998999505771654,1.00137805184615,0.999179032793888,23.0215896267298,"sslog"
"26","tmbstan",7,0.98,"diag",0.0131073498801556,28,9.346,13.721,256.561253751706,1000,1000,257.375070495086,0.998999631866637,1.00270561996538,0.999360023755294,18.6984369762923,"sslog"
"27","tmb",7,0.98,"diag",0.0122850707130258,28,162.171833992004,235.181128978729,218.873928722403,788.471723592045,1000,213.227214163286,0.999000594250359,1.00532911481408,0.999354722636028,0.930661102244299,"sslog"
