"X","platform","seed","delta.target","metric","eps.final","Npar","time.warmup","time.total","minESS","medianESS","Nsims","minESS.coda","Rhat.min","Rhat.max","Rhat.median","efficiency","model","mean.efficiency","sd.efficiency","median.efficiency","lwr.efficiency","upr.efficiency"
9,"stan",3,0.9,"diag",0.142137559779567,177,241.088,425.622,209.325660350322,1000,1000,209.530854790148,0.998999512919052,1.01835773759163,0.999374170590883,0.49181118539531,"swallows",0.37250673503118,0.16424273983239,0.411000029587328,0.158031606108866,0.509995274841197
13,"stan",4,0.9,"diag",0.124755318164902,177,372.214,576.916,91.1709620699023,1000,1000,145.377841466712,0.998999508993178,1.0089478287228,0.999515602571606,0.158031606108866,"swallows",0.37250673503118,0.16424273983239,0.411000029587328,0.158031606108866,0.509995274841197
1,"stan",1,0.8,"diag",0.802297622033362,5,0.031,0.109,476.109941603382,1000,1000,575.361994868315,0.999062899998728,1.00191070401252,0.999568566849214,4367.98111562736,"zdiag",4881.98565731596,1397.10320062876,4346.65651799353,3882.96258266305,6951.66701061374
5,"stan",2,0.8,"diag",0.717361665859051,5,0.047,0.078,542.230026827872,1000,1000,512.112201754163,0.999007590193658,1.00354121469233,0.999173417282615,6951.66701061374,"zdiag",4881.98565731596,1397.10320062876,4346.65651799353,3882.96258266305,6951.66701061374
9,"stan",3,0.8,"diag",0.834808297913595,5,0.031,0.125,540.666490044962,918.035257983404,1000,519.560601036293,0.999002772475097,1.00046289894814,0.999335223421371,4325.3319203597,"zdiag",4881.98565731596,1397.10320062876,4346.65651799353,3882.96258266305,6951.66701061374
13,"stan",4,0.8,"diag",0.829188169281518,5,0.047,0.141,547.497724155491,987.599114462916,1000,563.741100774691,0.998999513411333,1.00107656502592,0.999424760343066,3882.96258266305,"zdiag",4881.98565731596,1397.10320062876,4346.65651799353,3882.96258266305,6951.66701061374
2,"tmbstan",1,0.9,"diag",0.136399525050312,66,8.564,11.254,240.835655089789,1000,1000,214.494212917294,0.998999926678009,1.00259200426165,0.999384331823426,21.4000048951296,"growth",19.1395021712471,1.96216647758241,19.019260785829,17.1194822182008,21.4000048951296
6,"tmbstan",2,0.9,"diag",0.155166324411924,66,8.677,12.315,220.927064081179,1000,1000,199.978493760849,0.998999501045292,1.00391842779015,0.999237896959291,17.9396722761818,"growth",19.1395021712471,1.96216647758241,19.019260785829,17.1194822182008,21.4000048951296
10,"tmbstan",3,0.9,"diag",0.118958232254943,66,10.193,13.383,229.110030526181,1000,1000,194.896750571773,0.998999632766628,1.01294436954896,0.999358623801023,17.1194822182008,"growth",19.1395021712471,1.96216647758241,19.019260785829,17.1194822182008,21.4000048951296
14,"tmbstan",4,0.9,"diag",0.140445683548439,66,7.769,10.445,209.932480891249,1000,1000,212.982074266702,0.99899989190486,1.00287033868136,0.999256621093944,20.0988492954762,"growth",19.1395021712471,1.96216647758241,19.019260785829,17.1194822182008,21.4000048951296
2,"tmbstan",1,0.8,"diag",0.587331453465726,50,0.242,0.305,374.424647952234,1000,1000,387.883038975047,0.998999846970003,1.00222344389832,0.999194164513718,1227.6217965647,"iidz",1025.48809033989,384.512827640358,1034.60728293224,587.003959600369,1445.73383589472
6,"tmbstan",2,0.8,"diag",0.487149237001546,50,0.208,0.271,391.793869527468,1000,1000,435.284988176534,0.999000156066681,1.00176527487833,0.999297851159271,1445.73383589472,"iidz",1025.48809033989,384.512827640358,1034.60728293224,587.003959600369,1445.73383589472
10,"tmbstan",3,0.8,"diag",0.585456922984438,50,0.322,0.393,330.745958334814,1000,1000,321.129873664737,0.999000915218458,1.00788358999609,0.999257630253973,841.592769299782,"iidz",1025.48809033989,384.512827640358,1034.60728293224,587.003959600369,1445.73383589472
14,"tmbstan",4,0.8,"diag",0.485786480535814,50,0.431,0.511,299.959023355788,1000,1000,283.83530140228,0.998999665518013,1.00397676710595,0.999275359853241,587.003959600369,"iidz",1025.48809033989,384.512827640358,1034.60728293224,587.003959600369,1445.73383589472
2,"tmbstan",1,0.9,"diag",0.120005246898392,177,124.902,196.682,162.786671862275,1000,1000,185.295173775442,0.998999585962183,1.00671951269913,0.999454880621426,0.827664310217891,"swallows",0.581414337754056,0.192003949579581,0.537670136209688,0.422652768378957,0.827664310217891
6,"tmbstan",2,0.9,"diag",0.0972987535156055,177,127.964,234.791,150.256115161118,1000,1000,139.578214503382,0.998999897203451,1.01118230508518,0.999766340274082,0.639956877227482,"swallows",0.581414337754056,0.192003949579581,0.537670136209688,0.422652768378957,0.827664310217891
10,"tmbstan",3,0.9,"diag",0.101838309872011,177,194.572,317.524,134.20239762676,881.311183991544,1000,150.507058144991,0.998999528022811,1.01162578993553,0.999517410770504,0.422652768378957,"swallows",0.581414337754056,0.192003949579581,0.537670136209688,0.422652768378957,0.827664310217891
14,"tmbstan",4,0.9,"diag",0.105155122471789,177,219.336,351.659,153.106489369786,947.936492949522,1000,144.804193674704,0.998999500533368,1.01526367440565,0.999536643844095,0.435383395191893,"swallows",0.581414337754056,0.192003949579581,0.537670136209688,0.422652768378957,0.827664310217891
2,"tmbstan",1,0.8,"diag",0.885161779680246,5,0.047,0.094,458.654203035958,1000,1000,470.80081158647,0.999000891120526,1.00479051071435,0.999518966608826,4879.30003229743,"zdiag",4418.93410581148,609.317180062919,4630.34721202365,3535.74196690118,4879.30003229743
6,"tmbstan",2,0.8,"diag",0.838789938945648,5,0.047,0.125,562.872175914948,1000,1000,601.097269582055,0.999001060205809,1.00077080007455,0.999306434029207,4502.97740731959,"zdiag",4418.93410581148,609.317180062919,4630.34721202365,3535.74196690118,4879.30003229743
