"","platform","seed","Npar","Nsims","delta.mean","delta.target","eps.final","max_treedepths","ndivergent","nsteps.mean","nsteps.median","nsteps.sd","metric","model","cor"
"59","stan.nuts",61413,15,1000,0.862137261753433,0.8,0.702825477511541,0,0,6.596,7,1.15156854338338,"diag_e","mvnd",1
"60","tmb.nuts",61413,15,1000,0.79780682951145,0.8,10.7405931680853,0,0,6.344,7,2.25570567762109,"diag_e","mvnd",1
"61","stan.nuts",59189,25,1000,0.834610251814701,0.8,0.716186212102024,0,0,6.898,7,0.601629419126058,"diag_e","mvnd",0
"62","tmb.nuts",59189,25,1000,0.80942251647699,0.8,0.738090186139231,0,0,9.255,7,65.0492480920315,"diag_e","mvnd",0
"63","stan.nuts",33032,25,1000,0.862531892832876,0.8,0.66009542046745,0,0,6.978,7,0.274939250729305,"diag_e","mvnd",0
"64","tmb.nuts",33032,25,1000,0.805373230470997,0.8,0.725142263604506,0,0,9.495,7,65.5436111110666,"diag_e","mvnd",0
"65","stan.nuts",19139,25,1000,0.826228426174491,0.8,0.743712318884576,0,0,6.796,7,0.833714027157441,"diag_e","mvnd",0
"66","tmb.nuts",19139,25,1000,0.804558307206359,0.8,0.739918859289546,0,0,7.496,7,10.9654961152027,"diag_e","mvnd",0
"67","stan.nuts",78362,25,1000,0.85360130948806,0.8,0.691235124133906,0,0,6.958,7,0.382599506510898,"diag_e","mvnd",0
"68","tmb.nuts",78362,25,1000,0.798751035425445,0.8,0.743307368665252,0,0,8.54,7,47.7860037152673,"diag_e","mvnd",0
"69","stan.nuts",61413,25,1000,0.851339643562737,0.8,0.668039528872669,0,0,6.952,7,0.416977061563187,"diag_e","mvnd",0
"70","tmb.nuts",61413,25,1000,0.810218105750053,0.8,0.725905247446867,0,0,7.329,7,10.094191664154,"diag_e","mvnd",0
"71","stan.nuts",59189,25,1000,0.818992095556202,0.8,0.676570072961404,0,0,6.924,7,0.508411725358968,"diag_e","mvnd",1
"72","tmb.nuts",59189,25,1000,0.796989486444666,0.8,9.31816503218298,0,0,7.009,7,1.66952467976013,"diag_e","mvnd",1
"73","stan.nuts",33032,25,1000,0.842093835522535,0.8,0.621325941857328,0,0,6.966,7,0.350666461137884,"diag_e","mvnd",1
"74","tmb.nuts",33032,25,1000,0.799517400299161,0.8,9.39964306465738,0,0,7.01,7,1.6689196045116,"diag_e","mvnd",1
"75","stan.nuts",19139,25,1000,0.847953509515358,0.8,0.605361675709012,0,0,6.988,7,0.218869604796792,"diag_e","mvnd",1
"76","tmb.nuts",19139,25,1000,0.8052398986311,0.8,9.06537461684486,0,0,6.918,7,1.64882846823399,"diag_e","mvnd",1
"77","stan.nuts",78362,25,1000,0.778219387740747,0.8,0.762910444426782,0,0,6.65,7,1.08566969133281,"diag_e","mvnd",1
"78","tmb.nuts",78362,25,1000,0.802009998817173,0.8,9.22978902756683,0,0,6.973,7,1.58446403024227,"diag_e","mvnd",1
"79","stan.nuts",61413,25,1000,0.856334748091709,0.8,0.600086848033277,0,0,6.992,7,0.178795883531943,"diag_e","mvnd",1
"80","tmb.nuts",61413,25,1000,0.809414536688642,0.8,8.99960957878931,0,0,6.973,7,1.62437381632048,"diag_e","mvnd",1
"81","stan.nuts",59189,50,1000,0.850656477468855,0.8,0.573342727387866,0,0,7,7,0,"diag_e","mvnd",0
"82","tmb.nuts",59189,50,1000,0.804296128518369,0.8,0.643206027988096,0,0,7.513,7,6.90989901172051,"diag_e","mvnd",0
"83","stan.nuts",33032,50,1000,0.832926816238368,0.8,0.595387932616096,0,0,7,7,0,"diag_e","mvnd",0
"84","tmb.nuts",33032,50,1000,0.792647803986158,0.8,0.652452978036099,0,0,7.543,7,7.05152558007863,"diag_e","mvnd",0
"85","stan.nuts",19139,50,1000,0.829880030249156,0.8,0.61107350248336,0,0,7,7,0,"diag_e","mvnd",0
"86","tmb.nuts",19139,50,1000,0.802806479709939,0.8,0.636395647651323,0,0,7.62,7,8.80104136818947,"diag_e","mvnd",0
