"","platform","seed","delta.target","metric","eps.final","Npar","time","minESS","medianESS","Nsims","minESS.coda","Rhat.min","Rhat.max","Rhat.median","samples.per.time","time.total","model","cor"
"17","stan.nuts",19139,0.8,"diag_e",0.797962306819569,15,0.420000000000016,2480.64685346838,3883.26071447241,5000,2482.25402689276,0.99980019399006,1.00047977515847,0.999835415711803,5906.30203206735,0.420000000000016,"mvnd",0
"18","tmb.nuts",19139,0.8,"diag_e",0.800692849194915,15,13.68,1631.48149761396,5000,5000,1630.26679269005,0.999800301274049,1.00244930244719,0.999866493705162,119.260343392834,13.68,"mvnd",0
"19","stan.nuts",59189,0.8,"diag_e",0.757034736616039,15,0.469999999999999,2611.71713164447,3738.6545553057,5000,2932.56928097158,0.999800251831261,1.0001497346671,0.999897749420651,5556.8449609457,0.469999999999999,"mvnd",1
"20","tmb.nuts",59189,0.8,"diag_e",15.7867985413497,15,12.31,1867.69097661449,5000,5000,1801.17851718144,0.999800238919669,1.00020102856724,0.999857147302155,151.721444079163,12.31,"mvnd",1
"21","stan.nuts",33032,0.8,"diag_e",0.857434827938363,15,0.439999999999998,2256.04760868067,3782.24700370945,5000,2456.56850912457,0.999800224033806,1.00130490014485,0.999965285417126,5127.38092881974,0.439999999999998,"mvnd",1
"22","tmb.nuts",33032,0.8,"diag_e",15.3128246166146,15,12.7,1506.0668119388,5000,5000,1500.412243637,0.999800265798365,1.0003454243485,0.999838222342277,118.587937947937,12.7,"mvnd",1
"23","stan.nuts",19139,0.8,"diag_e",0.695441272076515,15,0.480000000000018,2625.39066093793,4215.27083158558,5000,2692.27024045823,0.999799980849253,1.00179483663507,1.0000330217288,5469.56387695382,0.480000000000018,"mvnd",1
"24","tmb.nuts",19139,0.8,"diag_e",16.1218078678052,15,12.08,1654.22056701628,5000,5000,1648.98060431335,0.999800009518435,1.00051439525437,0.999895176622621,136.938788660288,12.08,"mvnd",1
"25","stan.nuts",59189,0.8,"diag_e",0.742997902950033,25,0.719999999999999,2270.60172703017,3631.17884298523,5000,2327.66586020597,0.999800276261294,1.00113536543817,0.999941928723708,3153.61350976413,0.719999999999999,"mvnd",0
"26","tmb.nuts",59189,0.8,"diag_e",0.73981656164389,25,14.63,1234.00580761305,5000,5000,1236.61947888246,0.999800008148218,1.00011026415789,0.999848557898635,84.347628681685,14.63,"mvnd",0
"27","stan.nuts",33032,0.8,"diag_e",0.674349306487685,25,0.730000000000018,2196.50835985368,4280.42639519231,5000,2156.16974254783,0.999800083026666,1.00031092235439,0.999872247506659,3008.91556144333,0.730000000000018,"mvnd",0
"28","tmb.nuts",33032,0.8,"diag_e",0.753196779449343,25,14.08,1216.42622577706,5000,5000,1310.82587610443,0.999801059763329,1.00024633908101,0.999865804434374,86.3939080807571,14.08,"mvnd",0
"29","stan.nuts",19139,0.8,"diag_e",0.761488373479453,25,0.70999999999998,2383.26573144101,3611.92019343709,5000,2309.58068476394,0.999802402700714,1.00092535408095,0.999907019199656,3356.71229780434,0.70999999999998,"mvnd",0
"30","tmb.nuts",19139,0.8,"diag_e",0.744305929912137,25,14.31,960.77831744629,5000,5000,1098.14953937344,0.999800211405493,1.00181853852595,0.999831565656575,67.1403436370573,14.31,"mvnd",0
"31","stan.nuts",59189,0.8,"diag_e",0.705618803557851,25,0.800000000000011,2297.10369986855,3708.74299995824,5000,2362.57697049288,0.999800268878391,1.00126182353941,0.999895991822922,2871.37962483565,0.800000000000011,"mvnd",1
"32","tmb.nuts",59189,0.8,"diag_e",13.9411788002641,25,14.83,1326.20182406378,5000,5000,1253.09932794808,0.999799989546064,1.00151172988947,0.999871178149258,89.4269604898033,14.83,"mvnd",1
"33","stan.nuts",33032,0.8,"diag_e",0.603963181262759,25,0.829999999999984,2091.86227555673,5000,5000,2042.50363901421,0.999800243536944,1.00056631883866,0.999898307050361,2520.31599464671,0.829999999999984,"mvnd",1
"34","tmb.nuts",33032,0.8,"diag_e",13.8438816357563,25,15.06,1262.58117846966,5000,5000,1252.84906279844,0.999800246419801,1.00045901610367,0.999862754999975,83.8367316380917,15.06,"mvnd",1
"35","stan.nuts",19139,0.8,"diag_e",0.621573023635958,25,0.810000000000002,2037.73445522063,5000,5000,2103.63958889908,0.999800699264418,1.00146312364419,0.999897391218898,2515.72154965509,0.810000000000002,"mvnd",1
"36","tmb.nuts",19139,0.8,"diag_e",14.0261253496853,25,15.22,1204.72715564366,5000,5000,1250.76202422994,0.999799992126498,1.00407335064803,0.999875575068375,79.1542152196884,15.22,"mvnd",1
