"X","platform","seed","delta.target","metric","eps.final","Npar","time.warmup","time.total","minESS","medianESS","Nsims","minESS.coda","Rhat.min","Rhat.max","Rhat.median","efficiency","model","mean.efficiency","sd.efficiency","median.efficiency","lwr.efficiency","upr.efficiency"
52,"admb",1,0.9,"diag",0.136075,262,NA,1245.24,66.7509935892412,1000,1000,78.0093471185162,0.998999503674265,1.00571932351423,0.999353274062983,0.0536049224159529,"growth",0.0559877165563046,0.0149779754212624,0.0596161847759869,0.0358050107167178,0.0689134859565267
56,"admb",2,0.9,"diag",0.101305,262,NA,1492.3,53.4318174925579,1000,1000,49.9760604043763,0.998999673274794,1.00958749399068,0.999611621298732,0.0358050107167178,"growth",0.0559877165563046,0.0149779754212624,0.0596161847759869,0.0358050107167178,0.0689134859565267
60,"admb",3,0.9,"diag",0.142623,262,NA,1134.23,78.1637431764712,1000,1000,94.3075295526967,0.99899968557497,1.03031590247099,0.999573457188193,0.0689134859565267,"growth",0.0559877165563046,0.0149779754212624,0.0596161847759869,0.0358050107167178,0.0689134859565267
64,"admb",4,0.9,"diag",0.123988,262,NA,1380.11,90.5730960668937,1000,1000,105.115822947156,0.998999512955506,1.02458513819222,0.999575651171031,0.0656274471360209,"growth",0.0559877165563046,0.0149779754212624,0.0596161847759869,0.0358050107167178,0.0689134859565267
4,"admb",1,0.8,"diag",0.673812,32,NA,1.22,256.028532001842,1000,1000,359.914063848716,0.998999595909765,1.00188597299726,0.99919735194269,209.859452460526,"iidz",254.890319840663,66.4477923987658,257.54453210752,186.395336272515,318.076878875099
8,"admb",2,0.8,"diag",0.699815,32,NA,1.28,238.586030428819,1000,1000,264.508410383524,0.99899971879797,1.0015610104913,0.999328700487223,186.395336272515,"iidz",254.890319840663,66.4477923987658,257.54453210752,186.395336272515,318.076878875099
12,"admb",3,0.8,"diag",0.694267,32,NA,0.77000000000001,235.026801050978,1000,1000,215.063610281976,0.998999499673257,1.00581086415069,0.999172011201006,305.229611754513,"iidz",254.890319840663,66.4477923987658,257.54453210752,186.395336272515,318.076878875099
16,"admb",4,0.8,"diag",0.663901,32,NA,0.870000000000005,276.726884621338,1000,1000,254.029052636737,0.998999803474348,1.00298580730288,0.999199998062439,318.076878875099,"iidz",254.890319840663,66.4477923987658,257.54453210752,186.395336272515,318.076878875099
20,"admb",1,0.8,"diag",0.572586,64,NA,1.56,267.549305998096,1000,1000,231.542363824326,0.998999506363663,1.00219440710425,0.999357539480811,171.505965383395,"iidz",139.716455402462,22.1828840603622,133.560683295783,120.238489634886,171.505965383395
24,"admb",2,0.8,"diag",0.572117,64,NA,1.98999999999999,270.343224717159,1000,1000,255.682188047156,0.998999543080609,1.00220408284974,0.999216283681413,135.85086669204,"iidz",139.716455402462,22.1828840603622,133.560683295783,120.238489634886,171.505965383395
28,"admb",3,0.8,"diag",0.583326,64,NA,1.58000000000001,207.407389841253,1000,1000,182.342760883196,0.998999529009236,1.0044749157074,0.999378066041266,131.270499899526,"iidz",139.716455402462,22.1828840603622,133.560683295783,120.238489634886,171.505965383395
32,"admb",4,0.8,"diag",0.584619,64,NA,2.35999999999999,283.76283553833,1000,1000,297.708571280887,0.998999531058476,1.00163276682241,0.999212470872661,120.238489634886,"iidz",139.716455402462,22.1828840603622,133.560683295783,120.238489634886,171.505965383395
36,"admb",1,0.8,"diag",0.500651,128,NA,3.90000000000001,231.717254660982,1000,1000,236.971290523143,0.998999581626453,1.00344861946805,0.99930104832445,59.414680682303,"iidz",49.338212614619,18.5243148207375,49.9164050738783,28.1726573618107,69.3473829489087
40,"admb",2,0.8,"diag",0.476305,128,NA,4.22,292.645956044395,1000,1000,272.503067269627,0.998999592861635,1.0074190050367,0.99915717462793,69.3473829489087,"iidz",49.338212614619,18.5243148207375,49.9164050738783,28.1726573618107,69.3473829489087
44,"admb",3,0.8,"diag",0.514101,128,NA,3.84999999999999,108.464730842971,1000,1000,209.837403864904,0.998999506584969,1.0042828208906,0.999191206657278,28.1726573618107,"iidz",49.338212614619,18.5243148207375,49.9164050738783,28.1726573618107,69.3473829489087
48,"admb",4,0.8,"diag",0.47937,128,NA,3.83000000000001,154.801435852688,1000,1000,153.103092052643,0.998999582739855,1.01343554334157,0.999279138391682,40.4181294654536,"iidz",49.338212614619,18.5243148207375,49.9164050738783,28.1726573618107,69.3473829489087
52,"admb",1,0.8,"diag",0.401774,256,NA,15.4,161.955999621374,1000,1000,213.589256854364,0.998999548736714,1.00690014132791,0.999189862868419,10.5166233520372,"iidz",13.5178627890439,2.92154633378027,13.6476432492798,10.5166233520372,16.259541305579
56,"admb",2,0.8,"diag",0.426466,256,NA,20.89,329.532581704497,1000,1000,326.919754489815,0.998999499959476,1.00575304545504,0.999492179874481,15.7746568551698,"iidz",13.5178627890439,2.92154633378027,13.6476432492798,10.5166233520372,16.259541305579
60,"admb",3,0.8,"diag",0.433005,256,NA,17.41,283.078614130131,1000,1000,271.932897709596,0.998999500165937,1.00713894215926,0.999462920634819,16.259541305579,"iidz",13.5178627890439,2.92154633378027,13.6476432492798,10.5166233520372,16.259541305579
64,"admb",4,0.8,"diag",0.429071,256,NA,21.04,242.394047696921,1000,1000,248.728078971567,0.998999590956542,1.00576956186716,0.999457070964148,11.5206296433898,"iidz",13.5178627890439,2.92154633378027,13.6476432492798,10.5166233520372,16.259541305579
4,"admb",1,0.8,"diag",0.694604,32,NA,3.33999999999992,258.31723671678,1000,1000,228.462421088105,0.998999769664911,1.0027518164335,0.99932478398433,77.3404900349661,"zdiag",66.5546972097006,10.2103287900022,65.5560404319774,57.7662179398817,77.3404900349661
8,"admb",2,0.8,"diag",0.692695,32,NA,3.26999999999998,189.337569856747,1000,1000,240.756072116714,0.999001316547293,1.0018633479252,0.999133658495758,57.9013975097089,"zdiag",66.5546972097006,10.2103287900022,65.5560404319774,57.7662179398817,77.3404900349661
12,"admb",3,0.8,"diag",0.691161,32,NA,3.31000000000017,242.327361902567,1000,1000,254.612305728378,0.998999499619072,1.00073055885758,0.9991273803526,73.2106833542459,"zdiag",66.5546972097006,10.2103287900022,65.5560404319774,57.7662179398817,77.3404900349661
16,"admb",4,0.8,"diag",0.693354,32,NA,3.49000000000001,201.604100610188,1000,1000,252.285616349347,0.999000697520801,1.00165546913242,0.999162893512382,57.7662179398817,"zdiag",66.5546972097006,10.2103287900022,65.5560404319774,57.7662179398817,77.3404900349661
20,"admb",1,0.8,"diag",0.546882,64,NA,12.6300000000001,303.705078185949,1000,1000,264.491396719547,0.998999507567337,1.00184917856795,0.999298289992674,24.0463244802808,"zdiag",17.7713023443978,5.0230165833827,17.1605161573812,12.7178525825478,24.0463244802808
