"","platform","seed","delta.target","metric","eps.final","Npar","time.warmup","time.total","minESS","medianESS","Nsims","minESS.coda","Rhat.min","Rhat.max","Rhat.median","efficiency","model"
"12","admb",3,0.8,"diag",0.70367,32,NA,1.33,275.35648951414,1000,1000,254.602712905159,0.998999638010091,1.02777640086586,0.999304703475524,207.03495452191,"iidz"
"13","stan",4,0.8,"diag",0.602085033157013,32,0.063,0.11,206.141911434786,1000,1000,334.946483747745,0.999007691349674,1.02446271836062,0.999193625678237,1874.01737667987,"iidz"
"14","tmbstan",4,0.8,"diag",0.612260861726738,32,0.133,0.209,417.350665395169,1000,1000,365.754530547999,0.999000395281811,1.00103724712403,0.999204116558895,1996.89313586205,"iidz"
"15","tmb",4,0.8,"diag",0.644378850098362,32,0.864450931549072,1.66162586212158,235.0133269643,1000,1000,254.143298829124,0.99899966133392,1.00225814455294,0.999255319105555,141.435766210471,"iidz"
"16","admb",4,0.8,"diag",0.690114,32,NA,1.33,190.721602794569,1000,1000,203.773945195154,0.99899962482576,0.999992028987188,0.999266008294323,143.399701349301,"iidz"
"17","stan",1,0.8,"diag",0.498395332101837,64,0.188,0.246,409.273612272729,1000,1000,380.714254211707,0.99900071531499,1.00325535493435,0.999311404106964,1663.71387102735,"iidz"
"18","tmbstan",1,0.8,"diag",0.532806936913161,64,0.25,0.319,333.901570574515,1000,1000,336.000265547971,0.998999593744779,1.00189862454476,0.999168875798192,1046.71338738093,"iidz"
"19","tmb",1,0.8,"diag",0.55067383576487,64,1.1256890296936,1.95843601226807,281.96161736162,1000,1000,252.29411938409,0.998999503934854,1.00388369420125,0.999368559138638,143.972851599619,"iidz"
"20","admb",1,0.8,"diag",0.576765,64,NA,3.98999999999999,248.915466732518,1000,1000,259.328572730522,0.99899958165029,1.0011177064306,0.999191773930871,62.384828755017,"iidz"
"21","stan",2,0.8,"diag",0.562807076673323,64,0.171,0.231,309.797685190829,1000,1000,302.888772415418,0.998999944708792,1.00368503400509,0.99924234479044,1341.11552030662,"iidz"
"22","tmbstan",2,0.8,"diag",0.477611855960942,64,0.4,0.5,455.933005165397,1000,1000,437.62987860362,0.998999507928503,1.00283335729787,0.999523211066618,911.866010330793,"iidz"
"23","tmb",2,0.8,"diag",0.563499275140351,64,1.41693496704102,2.42519903182983,265.696236824681,1000,1000,286.92342454581,0.999008192285389,1.00377244195192,0.999300961275797,109.556466639446,"iidz"
